language,level,english,translation,category
German,A1,Good morning! How are you?,Guten Morgen! Wie geht es Ihnen?,Daily Life
German,A1,Where is the train station?,Wo ist der Bahnhof?,Travel
German,A1,How much does this cost?,Wie viel kostet das?,Food & Shopping
German,A1,I work in an office.,Ich arbeite in einem Büro.,Work & Office
German,A1,My phone has no battery.,Mein Handy hat keinen Akku mehr.,Technology
German,A1,I need a doctor.,Ich brauche einen Arzt.,Health & Wellbeing
German,A1,Where is the ATM?,Wo ist der Geldautomat?,Finance & Business
German,A1,This is my friend.,Das ist mein Freund.,Social & Relationships
German,A1,This is a free country.,Das ist ein freies Land.,Politics & Society
German,A1,The earth goes around the sun.,Die Erde dreht sich um die Sonne.,Science & Innovation
German,B1,I have been learning to code in my spare time.,Ich lerne in meiner Freizeit programmieren.,Technology
German,B1,Chronic stress can have serious long-term effects on the body.,Chronischer Stress kann schwerwiegende langfristige Auswirkungen auf den Körper haben.,Health & Wellbeing
German,B1,I am considering investing in index funds for long-term savings.,Ich erwäge für langfristige Ersparnisse in Indexfonds zu investieren.,Finance & Business
German,B1,Long-distance relationships require a lot of trust and communication.,Fernbeziehungen erfordern viel Vertrauen und Kommunikation.,Social & Relationships
German,B1,Freedom of the press is a cornerstone of democratic societies.,Pressefreiheit ist ein Grundpfeiler demokratischer Gesellschaften.,Politics & Society
German,B1,Personal freedom must sometimes be balanced against collective responsibility.,Persönliche Freiheit muss manchmal gegen kollektive Verantwortung abgewogen werden.,Philosophy & Ethics
German,B1,Artificial intelligence is rapidly transforming many industries.,Künstliche Intelligenz verändert viele Branchen rapide.,Science & Innovation
German,B1,I submitted my application before the deadline.,Ich habe meine Bewerbung vor der Frist eingereicht.,Work & Office
German,B1,I always research my destination thoroughly before traveling.,Ich recherchiere mein Reiseziel immer gründlich bevor ich verreise.,Travel
German,B1,The weekly market offers better quality produce than the supermarket.,Der Wochenmarkt bietet bessere Qualität als der Supermarkt.,Food & Shopping
German,B1,I have been trying to establish a more consistent morning routine.,Ich versuche eine konstantere Morgenroutine zu etablieren.,Daily Life
German,B1,I need to cite all my sources correctly in the bibliography.,Ich muss alle meine Quellen korrekt im Literaturverzeichnis angeben.,Academic & Research
German,C1,The datafication of human experience introduces forms of surveillance largely invisible to those surveilled.,Die Datifizierung menschlicher Erfahrung führt Formen der Überwachung ein die für die Überwachten weitgehend unsichtbar sind.,Technology
German,C1,The commodification of wellness has created a paradox in which self-care becomes another source of inadequacy.,Die Vermarktlichung von Wellness hat ein Paradox erzeugt in dem Selbstfürsorge zu einer weiteren Quelle des Unzulänglichkeitsgefühls wird.,Health & Wellbeing
German,C1,The financialization of housing has structurally decoupled shelter from its function as a social good.,Die Finanzialisierung von Wohnraum hat Unterkunft strukturell von ihrer Funktion als soziales Gut entkoppelt.,Finance & Business
German,C1,Attachment theory provides a powerful explanatory framework for recurring patterns in adult relationships.,Bindungstheorie bietet ein mächtiges Erklärungsrahmen für wiederkehrende Muster in Erwachsenenbeziehungen.,Social & Relationships
German,C1,Post-truth politics has not eliminated truth but rendered it structurally subordinate to narrative appeal.,Post-Wahrheitspolitik hat die Wahrheit nicht beseitigt sondern sie strukturell dem narrativen Appell untergeordnet.,Politics & Society
German,C1,The Kantian categorical imperative demands that we act only according to maxims we could universalize.,Der kantische kategorische Imperativ fordert dass wir nur nach Maximen handeln die wir verallgemeinern könnten.,Philosophy & Ethics
German,C1,Scientific revolutions as Kuhn argued occur not through accumulation but through paradigm displacement.,Wissenschaftliche Revolutionen finden wie Kuhn argumentierte nicht durch Akkumulation sondern durch Paradigmenwechsel statt.,Science & Innovation
German,C1,Ethical leadership requires the moral courage to act contrary to institutional pressure.,Ethische Führung erfordert den moralischen Mut gegen institutionellen Druck zu handeln.,Work & Office
German,C1,The homogenization of global travel infrastructure has diminished the distinctiveness of many destinations.,Die Homogenisierung globaler Reiseinfrastruktur hat die Unverwechselbarkeit vieler Reiseziele verringert.,Travel
German,C1,The globalization of taste has generated a paradoxical yearning for authentic culinary experience.,Die Globalisierung des Geschmacks hat eine paradoxe Sehnsucht nach authentischer kulinarischer Erfahrung erzeugt.,Food & Shopping
German,C1,The commodification of everyday experience has subtly eroded spontaneity from modern life.,Die Vermarktlichung alltäglicher Erfahrungen hat die Spontaneität aus dem modernen Leben subtil ausgehöhlt.,Daily Life
German,C1,Academic gatekeeping has historically excluded perspectives that do not conform to dominant paradigms.,Akademisches Gatekeeping hat historisch gesehen Perspektiven ausgeschlossen die nicht den dominanten Paradigmen entsprechen.,Academic & Research
German,C2,Hegemony operates not through brute force but through the naturalization of contingent power arrangements as common sense.,Hegemonie wirkt nicht durch rohe Gewalt sondern durch die Naturalisierung kontingenter Machtarrangements als gesunder Menschenverstand.,Politics & Society
German,C2,Wittgenstein's later philosophy dissolves rather than solves philosophical problems by exposing their linguistic origins.,Wittgensteins spätere Philosophie löst philosophische Probleme auf statt sie zu lösen indem sie ihre sprachlichen Ursprünge enthüllt.,Philosophy & Ethics
German,C2,The Anthropocene thesis reconfigures the relationship between natural history and human history in ways that demand new conceptual vocabularies.,Die Anthropozän-These rekonfiguriert die Beziehung zwischen Naturgeschichte und Menschheitsgeschichte auf eine Weise die neue konzeptionelle Vokabulare erfordert.,Science & Innovation
German,C2,The technical unconscious — the vast infrastructure of code that shapes experience without being experienced — is the condition of digital modernity.,Das technische Unbewusste – die umfangreiche Code-Infrastruktur die Erfahrungen prägt ohne erlebt zu werden – ist die Bedingung der digitalen Moderne.,Technology
German,C2,The biopolitical management of populations under modern states encompasses the regulation of birth death and the conditions of life itself.,Das biopolitische Management von Bevölkerungen unter modernen Staaten umfasst die Regulierung von Geburt Tod und den Lebensbedingungen selbst.,Health & Wellbeing
German,C2,The financialization of the economy has progressively subordinated the logic of production to the logic of rent and speculation.,Die Finanzialisierung der Wirtschaft hat die Produktionslogik schrittweise der Logik der Rente und Spekulation untergeordnet.,Finance & Business
German,C2,The self is constituted in and through relations with others; there is no pre-relational subject.,Das Selbst wird in und durch Beziehungen zu anderen konstituiert; es gibt kein vorbeziehungsmäßiges Subjekt.,Social & Relationships
German,C2,The archaeology of knowledge as Foucault conceived it traces the conditions of possibility for what can be said and thought.,Die Archäologie des Wissens wie Foucault sie konzipierte verfolgt die Möglichkeitsbedingungen für das was gesagt und gedacht werden kann.,Academic & Research
German,C2,The subsumption of biographical identity under professional role is one of modernity's most alienating demands.,Die Unterordnung biographischer Identität unter die berufliche Rolle ist eine der entfremdendsten Anforderungen der Moderne.,Work & Office
German,C2,The romanticization of nomadism often elides the precarity that historically accompanies it.,Die Romantisierung des Nomadismus verschleiert oft die Prekarität die ihn historisch begleitet.,Travel
German,C2,The politics of taste are inseparable from the class structures through which aesthetic judgments are produced and legitimated.,Die Politik des Geschmacks ist untrennbar von den Klassenstrukturen durch die ästhetische Urteile produziert und legitimiert werden.,Food & Shopping
German,C2,The phenomenology of habit reveals how deeply the body archives experience without the mediation of conscious thought.,Die Phänomenologie der Gewohnheit enthüllt wie tief der Körper Erfahrungen ohne die Vermittlung bewussten Denkens archiviert.,Daily Life
French,A1,Good morning how are you?,Bonjour comment allez-vous ?,Daily Life
French,B1,The meeting was postponed until next week.,La réunion a été reportée à la semaine prochaine.,Work & Office
French,C1,Personal freedom must sometimes be balanced against collective responsibility.,La liberté personnelle doit parfois être mise en balance avec la responsabilité collective.,Philosophy & Ethics
Polish,A1,Good morning how are you?,Dzień dobry jak się masz?,Daily Life
Polish,B1,The meeting was postponed until next week.,Spotkanie zostało przełożone na przyszły tydzień.,Work & Office
Polish,C1,Personal freedom must sometimes be balanced against collective responsibility.,Wolność osobista musi być niekiedy wyważana w stosunku do odpowiedzialności zbiorowej.,Philosophy & Ethics
